epoch,train_loss,val_loss
1,0.03446691483259201,0.05424307659268379
2,0.028900957282851723,0.0453341081738472
3,0.026617888854268718,0.042761750519275665
4,0.022082375691217536,0.04242439568042755
5,0.019693451988346437,0.042286135256290436
6,0.019905976458069158,0.04084540903568268
7,0.016122199375839794,0.04030025377869606
8,0.01684743702849921,0.03919588774442673
9,0.01554510071325828,0.036716677248477936
10,0.014734183712040676,0.03574291244149208
11,0.01384423511541065,0.03485676646232605
12,0.013466329998610652,0.03390825167298317
13,0.012771408648832756,0.031867753714323044
14,0.011772560941822389,0.030915841460227966
15,0.011142791906262146,0.029298126697540283
16,0.011115109712323722,0.028498947620391846
17,0.010696536149172223,0.032384827733039856
18,0.01323069106130039,0.027193523943424225
19,0.010005823665243737,0.03066200390458107
20,0.012803692754138918,0.031070835888385773
21,0.012241639196872711,0.02719164825975895
22,0.009877906071350855,0.031981538981199265
23,0.01303718488334733,0.026670310646295547
24,0.009235405198791447,0.0299098938703537
25,0.01066636836484951,0.02856537699699402
26,0.009205258944455315,0.02687029540538788
27,0.00826921675573377,0.02777983248233795
28,0.008498014252194586,0.026677627116441727
29,0.007699247066150694,0.026716556400060654
