score_index,latent_row,window_id,structure_id,structure_type,center_distance_bp
546,546,WT_rep1__scan_0546000,CHIN_28,CHIN,60
559,559,WT_rep1__scan_0559000,CHIN_29,CHIN,250
560,560,WT_rep1__scan_0560000,CHIN_30,CHIN,300
563,563,WT_rep1__scan_0563000,CHIN_31,CHIN,390
566,566,WT_rep1__scan_0566000,CHIN_32,CHIN,470
569,569,WT_rep1__scan_0569000,CHIN_33,CHIN,490
571,571,WT_rep1__scan_0571000,CHIN_34,CHIN,50
572,572,WT_rep1__scan_0572000,CHIN_35,CHIN,430
584,584,WT_rep1__scan_0584000,CHIN_36,CHIN,340
619,619,WT_rep1__scan_0619000,CHIN_37,CHIN,380
637,637,WT_rep1__scan_0637000,CHIN_38,CHIN,220
656,656,WT_rep1__scan_0656000,CHIN_39,CHIN,290
662,662,WT_rep1__scan_0662000,CHIN_40,CHIN,460
677,677,WT_rep1__scan_0677000,CHIN_41,CHIN,80
678,678,WT_rep1__scan_0678000,CHIN_42,CHIN,270
716,716,WT_rep1__scan_0716000,CHIN_43,CHIN,370
721,721,WT_rep1__scan_0721000,CHIN_44,CHIN,280
735,735,WT_rep1__scan_0735000,CHIN_45,CHIN,300
737,737,WT_rep1__scan_0737000,CHIN_46,CHIN,380
749,749,WT_rep1__scan_0749000,CHIN_47,CHIN,180
752,752,WT_rep1__scan_0752000,CHIN_48,CHIN,470
801,801,WT_rep1__scan_0801000,CHIN_49,CHIN,100
821,821,WT_rep1__scan_0821000,CHIN_50,CHIN,20
875,875,WT_rep1__scan_0875000,CHIN_51,CHIN,320
998,998,WT_rep1__scan_0998000,CHIN_52,CHIN,190
999,999,WT_rep1__scan_0999000,CHIN_53,CHIN,20
1050,1050,WT_rep1__scan_1050000,CHIN_54,CHIN,110
1052,1052,WT_rep1__scan_1052000,CHIN_55,CHIN,340
1065,1065,WT_rep1__scan_1065000,CHIN_56,CHIN,60
1088,1088,WT_rep1__scan_1088000,CHIN_57,CHIN,360
1088,1088,WT_rep1__scan_1088000,CHIN_58,CHIN,450
1090,1090,WT_rep1__scan_1090000,CHIN_59,CHIN,80
1093,1093,WT_rep1__scan_1093000,CHIN_60,CHIN,470
1095,1095,WT_rep1__scan_1095000,CHIN_61,CHIN,280
1103,1103,WT_rep1__scan_1103000,CHIN_62,CHIN,320
1105,1105,WT_rep1__scan_1105000,CHIN_63,CHIN,300
1119,1119,WT_rep1__scan_1119000,CHIN_64,CHIN,370
1120,1120,WT_rep1__scan_1120000,CHIN_65,CHIN,190
1181,1181,WT_rep1__scan_1181000,CHIN_66,CHIN,130
1198,1198,WT_rep1__scan_1198000,CHIN_67,CHIN,500
1199,1199,WT_rep1__scan_1199000,CHIN_68,CHIN,60
1203,1203,WT_rep1__scan_1203000,CHIN_69,CHIN,400
1211,1211,WT_rep1__scan_1211000,CHIN_70,CHIN,390
1216,1216,WT_rep1__scan_1216000,CHIN_71,CHIN,280
1217,1217,WT_rep1__scan_1217000,CHIN_72,CHIN,410
1218,1218,WT_rep1__scan_1218000,CHIN_73,CHIN,490
1219,1219,WT_rep1__scan_1219000,CHIN_74,CHIN,170
1220,1220,WT_rep1__scan_1220000,CHIN_75,CHIN,140
1230,1230,WT_rep1__scan_1230000,CHIN_76,CHIN,140
1316,1316,WT_rep1__scan_1316000,CHIN_77,CHIN,470
1371,1371,WT_rep1__scan_1371000,CHIN_78,CHIN,90
1383,1383,WT_rep1__scan_1383000,CHIN_79,CHIN,420
1395,1395,WT_rep1__scan_1395000,CHIN_80,CHIN,60
1412,1412,WT_rep1__scan_1412000,CHIN_81,CHIN,90
1413,1413,WT_rep1__scan_1413000,CHIN_82,CHIN,340
1418,1418,WT_rep1__scan_1418000,CHIN_83,CHIN,360
1420,1420,WT_rep1__scan_1420000,CHIN_84,CHIN,0
1476,1476,WT_rep1__scan_1476000,CHIN_85,CHIN,340
1477,1477,WT_rep1__scan_1477000,CHIN_86,CHIN,500
1521,1521,WT_rep1__scan_1521000,CHIN_87,CHIN,350
